Designator,Mid X,Mid Y,Rotation,Layer
D1,44.867014,-68.341851,90.0,top
D10,252.755514,-67.884651,90.0,top
D11,44.551514,-87.341851,90.0,top
D12,66.960563,-87.093006,82.0,top
D13,85.775663,-89.737306,82.0,top
D14,104.590763,-92.381606,82.0,top
D15,123.405863,-95.025906,82.0,top
D16,181.358664,-94.847306,98.0,top
D17,200.173764,-92.203006,98.0,top
D18,218.988864,-89.558706,98.0,top
D19,237.803964,-86.914506,98.0,top
D2,64.901063,-67.616806,82.0,top
D20,257.821514,-87.341851,90.0,top
D21,46.587714,-106.854951,90.0,top
D22,73.723863,-107.230206,82.0,top
D23,92.538963,-109.874506,82.0,top
D24,111.354063,-112.518806,82.0,top
D25,130.169163,-115.163106,82.0,top
D26,174.595464,-114.984606,98.0,top
D27,193.410564,-112.340306,98.0,top
D28,212.225664,-109.696006,98.0,top
D29,231.040764,-107.051706,98.0,top
D3,83.716163,-70.261106,82.0,top
D30,255.787314,-106.688251,90.0,top
D31,43.547714,-125.854951,90.0,top
D32,85.190863,-128.028506,82.0,top
D33,102.025463,-130.394506,82.0,top
D34,198.018764,-130.874506,98.0,top
D35,214.869964,-128.511106,98.0,top
D36,256.262314,-125.688251,90.0,top
D4,102.531263,-72.905406,82.0,top
D5,121.346363,-75.549706,82.0,top
D6,174.010664,-76.693306,98.0,top
D7,192.825764,-74.049006,98.0,top
D8,211.640864,-71.404706,98.0,top
D9,230.455964,-68.760406,98.0,top
R1,74.477381,-125.133281,84.0,top
R2,225.130207,-125.328118,98.0,top
RD1,63.369267,-125.760742,84.0,top
RD2,236.253364,-125.568806,98.0,top
SW1,53.367014,-66.341851,0.0,top
SW10,244.255514,-65.884651,0.0,top
SW11,53.051514,-85.341851,0.0,top
SW12,75.656214,-86.295451,352.0,top
SW13,94.471314,-88.939751,352.0,top
SW14,113.286414,-91.584051,352.0,top
SW15,132.101514,-94.228251,352.0,top
SW16,172.646514,-94.047251,8.0,top
SW17,191.461614,-91.402951,8.0,top
SW18,210.276714,-88.758651,8.0,top
SW19,229.091814,-86.114351,8.0,top
SW2,73.596714,-66.819251,352.0,top
SW20,249.321514,-85.341851,0.0,top
SW21,55.087714,-104.854951,0.0,top
SW22,82.419414,-106.432651,352.0,top
SW23,101.234514,-109.076951,352.0,top
SW24,120.049614,-111.721251,352.0,top
SW25,138.864714,-114.365551,352.0,top
SW26,165.883214,-114.184451,8.0,top
SW27,184.698314,-111.540151,8.0,top
SW28,203.513414,-108.895851,8.0,top
SW29,222.328514,-106.251551,8.0,top
SW3,92.411814,-69.463551,352.0,top
SW30,247.287314,-104.688251,0.0,top
SW31,52.047714,-123.854951,0.0,top
SW32,93.886514,-127.230951,352.0,top
SW33,124.137689,-132.391721,352.0,top
SW34,178.258439,-132.541121,8.0,top
SW35,206.157714,-127.710951,8.0,top
SW36,247.762314,-123.688251,0.0,top
SW4,111.226914,-72.107851,352.0,top
SW5,130.042014,-74.752151,352.0,top
SW6,165.298414,-75.893151,8.0,top
SW7,184.113514,-73.248851,8.0,top
SW8,202.928614,-70.604651,8.0,top
SW9,221.743714,-67.960351,8.0,top
U1,150.000014,-93.322251,0.0,bottom
