Designator,Mid X,Mid Y,Rotation,Layer
D1,63.899428,-63.582507,78.0,top
D10,236.100583,-63.58254,102.0,top
D11,59.949106,-82.167312,78.0,top
D12,79.521491,-81.471433,78.0,top
D13,98.106296,-85.421755,78.0,top
D14,116.19731,-91.695178,78.0,top
D15,134.782115,-95.6455,78.0,top
D16,165.217885,-95.6455,102.0,top
D17,183.80269,-91.695178,102.0,top
D18,201.893704,-85.421755,102.0,top
D19,220.478508,-81.471433,102.0,top
D2,83.471813,-62.886628,78.0,top
D20,240.050893,-82.167312,102.0,top
D21,55.998784,-100.752116,78.0,top
D22,75.571169,-100.056237,78.0,top
D23,94.155974,-104.006559,78.0,top
D24,112.246988,-110.279983,78.0,top
D25,130.831792,-114.230305,78.0,top
D26,169.168207,-114.230305,102.0,top
D27,187.753015,-110.279977,102.0,top
D28,205.844029,-104.006554,102.0,top
D29,224.42883,-100.056237,102.0,top
D3,102.056618,-66.836951,78.0,top
D30,244.001215,-100.752116,102.0,top
D31,65.493275,-124.622763,78.0,top
D32,107.309085,-133.510988,78.0,top
D33,135.186292,-139.436471,78.0,top
D34,164.813708,-139.436471,102.0,top
D35,192.690915,-133.510988,102.0,top
D36,234.506724,-124.622763,102.0,top
D4,120.147632,-73.110374,78.0,top
D5,138.732437,-77.060696,78.0,top
D6,161.267563,-77.060696,102.0,top
D7,179.852368,-73.110374,102.0,top
D8,197.943384,-66.836945,102.0,top
D9,216.528198,-62.886661,102.0,top
R1,150.0,-114.822035,270.0,top
RD1,133.49,-134.29,78.0,top
SW1,54.113236,-63.930447,348.0,top
SW10,245.886763,-63.930447,12.0,top
SW11,50.162914,-82.515252,348.0,top
SW12,69.735299,-81.819373,348.0,top
SW13,89.307684,-81.123494,348.0,top
SW14,106.904908,-89.720017,348.0,top
SW15,125.489712,-93.670339,348.0,top
SW16,174.510287,-93.670339,12.0,top
SW17,193.095092,-89.720017,12.0,top
SW18,210.692316,-81.123494,12.0,top
SW19,230.264701,-81.819373,12.0,top
SW2,73.685621,-63.234568,348.0,top
SW20,249.837086,-82.515252,12.0,top
SW21,46.212592,-101.100056,348.0,top
SW22,65.784977,-100.404177,348.0,top
SW23,85.357362,-99.708298,348.0,top
SW24,102.954586,-108.304821,348.0,top
SW25,121.53939,-112.255144,348.0,top
SW26,178.46061,-112.255144,12.0,top
SW27,197.045421,-108.30481,12.0,top
SW28,214.642638,-99.708298,12.0,top
SW29,234.215023,-100.404177,12.0,top
SW3,93.258006,-62.538689,348.0,top
SW30,253.787408,-101.100056,12.0,top
SW31,77.108778,-127.091714,348.0,top
SW31-1,74.785678,-126.597924,348.0,top
SW32,98.016683,-131.535827,348.0,top
SW32-1,95.693582,-131.042036,348.0,top
SW33,121.247688,-136.47373,348.0,top
SW34,178.752311,-136.47373,12.0,top
SW35,201.983316,-131.535827,12.0,top
SW35-1,204.306417,-131.042036,12.0,top
SW36,222.891221,-127.091714,12.0,top
SW36-1,225.214322,-126.597924,12.0,top
SW4,110.85523,-71.135213,348.0,top
SW5,129.440034,-75.085535,348.0,top
SW6,170.559965,-75.085535,12.0,top
SW7,189.144775,-71.135202,12.0,top
SW8,206.741994,-62.538689,12.0,top
SW9,226.314403,-63.234634,12.0,top
U1,150.0,-89.84,0.0,bottom
