Designator,Mid X,Mid Y,Rotation,Layer
D1,-90.25,21.875,0.0,top
D10,85.5,21.875,0.0,top
D11,-87.875,2.875,0.0,top
D12,-66.5,2.875,0.0,top
D13,-47.5,2.875,0.0,top
D14,-28.5,2.875,0.0,top
D15,-9.5,2.875,0.0,top
D16,9.5,2.875,0.0,top
D17,28.5,2.875,0.0,top
D18,47.5,2.875,0.0,top
D19,66.5,2.875,0.0,top
D2,-71.25,21.875,0.0,top
D20,87.875,2.875,0.0,top
D21,-85.5,-16.125,0.0,top
D22,-61.75,-16.125,0.0,top
D23,-42.75,-16.125,0.0,top
D24,-23.75,-16.125,0.0,top
D25,-4.75,-16.125,0.0,top
D26,14.25,-16.125,0.0,top
D27,33.25,-16.125,0.0,top
D28,52.25,-16.125,0.0,top
D29,71.25,-16.125,0.0,top
D3,-52.25,21.875,0.0,top
D30,90.25,-16.125,0.0,top
D31,-90.25,-35.125,0.0,top
D32,-68.875,-35.125,0.0,top
D33,-45.125,-35.125,0.0,top
D34,-36.125,-26.125,270.0,top
D35,45.125,-35.125,0.0,top
D36,68.875,-35.125,0.0,top
D37,90.25,-35.125,0.0,top
D4,-33.25,21.875,0.0,top
D5,4.75,21.875,0.0,top
D6,13.75,30.875,90.0,top
D7,23.75,21.875,0.0,top
D8,42.75,21.875,0.0,top
D9,61.75,21.875,0.0,top
SW1,-90.25,30.875,0.0,top
SW10,85.5,30.875,0.0,top
SW11,-87.875,11.875,0.0,top
SW12,-66.5,11.875,0.0,top
SW13,-47.5,11.875,0.0,top
SW14,-28.5,11.875,0.0,top
SW15,-9.5,11.875,0.0,top
SW16,9.5,11.875,0.0,top
SW17,28.5,11.875,0.0,top
SW18,47.5,11.875,0.0,top
SW19,66.5,11.875,0.0,top
SW2,-71.25,30.875,0.0,top
SW20,87.875,11.875,0.0,top
SW21,-85.5,-7.125,0.0,top
SW22,-61.75,-7.125,0.0,top
SW23,-42.75,-7.125,0.0,top
SW24,-23.75,-7.125,0.0,top
SW25,-4.75,-7.125,0.0,top
SW26,14.25,-7.125,0.0,top
SW27,33.25,-7.125,0.0,top
SW28,52.25,-7.125,0.0,top
SW29,71.25,-7.125,0.0,top
SW3,-52.25,30.875,0.0,top
SW30,90.25,-7.125,0.0,top
SW31,-90.25,-26.125,0.0,top
SW32,-68.875,-26.125,0.0,top
SW33,-45.125,-26.125,0.0,top
SW34,0.0,-30.00505,0.0,top
SW35,45.125,-26.125,0.0,top
SW36,68.875,-26.125,0.0,top
SW37,90.25,-26.125,0.0,top
SW4,-33.25,30.875,0.0,top
SW5,-14.25,30.875,0.0,top
SW6,4.75,30.875,0.0,top
SW7,23.75,30.875,0.0,top
SW8,42.75,30.875,0.0,top
SW9,61.75,30.875,0.0,top
U1,-14.25,30.48,0.0,bottom
