Designator,Mid X,Mid Y,Rotation,Layer
D1,44.867,-68.3419,90.0,top
D10,252.7555,-67.8847,90.0,top
D11,44.5515,-87.3419,90.0,top
D12,66.960549,-87.093055,82.0,top
D13,85.775649,-89.737355,82.0,top
D14,104.590749,-92.381655,82.0,top
D15,123.405849,-95.025955,82.0,top
D16,181.35865,-94.847355,98.0,top
D17,200.17375,-92.203055,98.0,top
D18,218.98885,-89.558755,98.0,top
D19,237.80395,-86.914555,98.0,top
D2,64.901049,-67.616855,82.0,top
D20,257.8215,-87.3419,90.0,top
D21,46.5877,-106.855,90.0,top
D22,73.723849,-107.230255,82.0,top
D23,92.538949,-109.874555,82.0,top
D24,111.354049,-112.518855,82.0,top
D25,130.169149,-115.163155,82.0,top
D26,174.59545,-114.984655,98.0,top
D27,193.41055,-112.340355,98.0,top
D28,212.22565,-109.696055,98.0,top
D29,231.04075,-107.051755,98.0,top
D3,83.716149,-70.261155,82.0,top
D30,255.7873,-106.6883,90.0,top
D31,43.5477,-125.855,90.0,top
D32,85.190849,-128.028555,82.0,top
D33,102.025449,-130.394555,82.0,top
D34,198.01875,-130.874555,98.0,top
D35,214.86995,-128.511155,98.0,top
D36,256.2623,-125.6883,90.0,top
D4,102.531249,-72.905455,82.0,top
D5,121.346349,-75.549755,82.0,top
D6,174.01065,-76.693355,98.0,top
D7,192.82575,-74.049055,98.0,top
D8,211.64085,-71.404755,98.0,top
D9,230.45595,-68.760455,98.0,top
R1,74.477367,-125.13333,84.0,top
R2,225.130193,-125.328167,98.0,top
RD1,63.369253,-125.760791,84.0,top
RD2,236.25335,-125.568855,98.0,top
SW1,53.367,-66.3419,0.0,top
SW10,244.2555,-65.8847,0.0,top
SW11,53.0515,-85.3419,0.0,top
SW12,75.6562,-86.2955,352.0,top
SW13,94.4713,-88.9398,352.0,top
SW14,113.2864,-91.5841,352.0,top
SW15,132.1015,-94.2283,352.0,top
SW16,172.6465,-94.0473,8.0,top
SW17,191.4616,-91.403,8.0,top
SW18,210.2767,-88.7587,8.0,top
SW19,229.0918,-86.1144,8.0,top
SW2,73.5967,-66.8193,352.0,top
SW20,249.3215,-85.3419,0.0,top
SW21,55.0877,-104.855,0.0,top
SW22,82.4194,-106.4327,352.0,top
SW23,101.2345,-109.077,352.0,top
SW24,120.0496,-111.7213,352.0,top
SW25,138.8647,-114.3656,352.0,top
SW26,165.8832,-114.1845,8.0,top
SW27,184.6983,-111.5402,8.0,top
SW28,203.5134,-108.8959,8.0,top
SW29,222.3285,-106.2516,8.0,top
SW3,92.4118,-69.4636,352.0,top
SW30,247.2873,-104.6883,0.0,top
SW31,52.0477,-123.855,0.0,top
SW32,93.8865,-127.231,352.0,top
SW33,124.137675,-132.39177,352.0,top
SW34,178.258425,-132.54117,8.0,top
SW35,206.1577,-127.711,8.0,top
SW36,247.7623,-123.6883,0.0,top
SW4,111.2269,-72.1079,352.0,top
SW5,130.042,-74.7522,352.0,top
SW6,165.2984,-75.8932,8.0,top
SW7,184.1135,-73.2489,8.0,top
SW8,202.9286,-70.6047,8.0,top
SW9,221.7437,-67.9604,8.0,top
U1,150.0,-93.3223,0.0,bottom
