Designator,Mid X,Mid Y,Rotation,Layer
D1,63.962347,-67.932299,84.0,top
D10,233.799978,-68.663998,96.0,top
D11,64.338295,-87.07647,84.0,top
D12,66.700285,-87.324725,84.0,top
D13,85.596201,-89.310766,84.0,top
D14,104.492117,-91.296807,84.0,top
D15,123.388033,-93.282848,84.0,top
D16,162.440029,-95.268889,96.0,top
D17,181.335945,-93.282848,96.0,top
D18,200.231861,-91.296807,96.0,top
D19,219.127777,-89.310766,96.0,top
D2,82.858263,-69.91834,84.0,top
D20,238.023694,-87.324725,96.0,top
D21,67.076234,-106.468897,84.0,top
D22,74.162202,-107.213662,84.0,top
D23,93.058118,-109.199703,84.0,top
D24,111.954034,-111.185743,84.0,top
D25,130.84995,-113.171784,84.0,top
D26,173.874028,-113.171784,96.0,top
D27,192.769944,-111.185743,96.0,top
D28,211.66586,-109.199703,96.0,top
D29,230.561776,-107.213662,96.0,top
D3,101.754179,-71.904381,84.0,top
D30,235.285755,-106.717152,96.0,top
D31,60.366214,-124.868302,84.0,top
D32,83.986109,-127.350853,84.0,top
D33,102.882025,-129.336894,84.0,top
D34,197.117975,-129.833404,96.0,top
D35,216.013891,-127.847364,96.0,top
D36,239.633786,-125.364813,96.0,top
D4,120.650095,-73.890422,84.0,top
D5,139.546011,-75.876462,84.0,top
D6,174.625926,-74.883442,96.0,top
D7,193.521842,-72.897401,96.0,top
D8,212.417758,-70.91136,96.0,top
D9,231.313674,-68.92532,96.0,top
SW1,54.514389,-66.939279,354.0,top
SW10,243.123621,-67.684044,6.0,top
SW11,54.890338,-86.08345,354.0,top
SW12,76.148243,-88.317746,354.0,top
SW13,95.044159,-90.303786,354.0,top
SW14,113.940075,-92.289827,354.0,top
SW15,132.835991,-94.275868,354.0,top
SW16,171.887987,-94.275869,6.0,top
SW17,190.783903,-92.289828,6.0,top
SW18,209.679819,-90.303788,6.0,top
SW19,228.575735,-88.317746,6.0,top
SW2,73.410305,-68.925319,354.0,top
SW20,247.471651,-86.331705,6.0,top
SW21,57.628276,-105.475876,354.0,top
SW22,83.610161,-108.206682,354.0,top
SW23,102.506077,-110.192723,354.0,top
SW24,121.401993,-112.178764,354.0,top
SW25,140.297909,-114.164804,354.0,top
SW26,164.42607,-114.164805,6.0,top
SW27,183.321986,-112.178764,6.0,top
SW28,202.217902,-110.192723,6.0,top
SW29,221.113818,-108.206683,6.0,top
SW3,92.306221,-70.91136,354.0,top
SW30,244.733713,-105.724132,6.0,top
SW31,69.814172,-125.861323,354.0,top
SW32,93.434067,-128.343874,354.0,top
SW33,126.803245,-130.952973,354.0,top
SW34,175.558743,-131.201229,6.0,top
SW35,206.565932,-128.840384,6.0,top
SW36,230.185827,-126.357833,6.0,top
SW4,111.202137,-72.897401,354.0,top
SW5,130.098053,-74.883442,354.0,top
SW6,165.177967,-75.876463,6.0,top
SW7,184.073883,-73.890422,6.0,top
SW8,202.969799,-71.904381,6.0,top
SW9,221.865715,-69.91834,6.0,top
U1,150.0,-94.457234,0.0,bottom
