Designator,Mid X,Mid Y,Rotation,Layer
D1,63.500975,-67.309905,83.0,top
D10,234.141727,-68.178224,97.0,top
D11,63.542754,-86.457721,83.0,top
D12,66.892597,-86.86903,83.0,top
D13,85.750974,-89.184548,83.0,top
D14,104.609351,-91.500065,83.0,top
D15,123.467728,-93.815583,83.0,top
D16,163.381034,-96.009231,97.0,top
D17,182.239411,-93.693713,97.0,top
D18,201.097788,-91.378196,97.0,top
D19,219.956165,-89.062678,97.0,top
D2,82.359352,-69.625422,83.0,top
D20,238.814542,-86.747161,97.0,top
D21,48.076,-103.701329,83.0,top
D22,91.872099,-109.078814,83.0,top
D23,110.730476,-111.394332,83.0,top
D24,129.588853,-113.709849,83.0,top
D25,148.44723,-116.025367,83.0,top
D26,156.267364,-116.025367,97.0,top
D27,175.12574,-113.709849,97.0,top
D28,193.984117,-111.394332,97.0,top
D29,212.842494,-109.078814,97.0,top
D3,101.217729,-71.94094,83.0,top
D30,254.281296,-103.990769,97.0,top
D31,83.477236,-127.190741,83.0,top
D32,101.343067,-129.384389,83.0,top
D33,198.656932,-129.963269,97.0,top
D34,216.522763,-127.769621,97.0,top
D4,120.076105,-74.256457,83.0,top
D5,138.934482,-76.571975,83.0,top
D6,174.216754,-75.536085,97.0,top
D7,193.07513,-73.220568,97.0,top
D8,211.933507,-70.90505,97.0,top
D9,230.791884,-68.589533,97.0,top
SW1,54.568059,-66.21308,353.0,top
SW10,243.074643,-67.081399,7.0,top
SW11,54.609839,-85.360897,353.0,top
SW12,75.825513,-87.965854,353.0,top
SW13,94.68389,-90.281371,353.0,top
SW14,113.542267,-92.596889,353.0,top
SW15,132.400644,-94.912406,353.0,top
SW16,172.31395,-94.912407,7.0,top
SW17,191.172327,-92.596889,7.0,top
SW18,210.030704,-90.281372,7.0,top
SW19,228.88908,-87.965854,7.0,top
SW2,73.426436,-68.528598,353.0,top
SW20,247.747457,-85.650337,7.0,top
SW21,57.008916,-104.798153,353.0,top
SW22,82.939184,-107.98199,353.0,top
SW23,101.797561,-110.297507,353.0,top
SW24,120.655938,-112.613025,353.0,top
SW25,139.514315,-114.928542,353.0,top
SW26,165.200279,-114.928542,7.0,top
SW27,184.058656,-112.613025,7.0,top
SW28,202.917033,-110.297507,7.0,top
SW29,221.77541,-107.98199,7.0,top
SW3,92.284813,-70.844115,353.0,top
SW30,245.348381,-105.087593,7.0,top
SW31,92.410152,-128.287565,353.0,top
SW32,125.724649,-131.474504,353.0,top
SW33,176.632648,-131.763943,7.0,top
SW34,207.589847,-128.866444,7.0,top
SW4,111.14319,-73.159633,353.0,top
SW5,130.001567,-75.47515,353.0,top
SW6,165.283838,-76.632909,7.0,top
SW7,184.142215,-74.317392,7.0,top
SW8,203.000592,-72.001874,7.0,top
SW9,221.858969,-69.686357,7.0,top
U1,150.0,-94.92,0.0,bottom
