Designator,Mid X,Mid Y,Rotation,Layer
D1,-107.3982,31.5901,90.0,top
D10,105.0232,31.5901,90.0,top
D11,-107.8732,12.2101,90.0,top
D12,-85.4499,12.6512,80.0,top
D13,-66.7385,9.3519,80.0,top
D14,-48.0272,6.0526,80.0,top
D15,-29.3158,2.7533,80.0,top
D16,34.0658,2.7533,100.0,top
D17,52.7772,6.0526,100.0,top
D18,71.4885,9.3519,100.0,top
D19,90.1999,12.6512,100.0,top
D2,-86.8284,32.1874,80.0,top
D20,110.2482,12.2101,90.0,top
D21,-106.4482,-7.1699,90.0,top
D22,-79.3935,-7.7098,80.0,top
D23,-60.6822,-11.0091,80.0,top
D24,-41.9708,-14.3084,80.0,top
D25,-23.2595,-17.6077,80.0,top
D26,28.0095,-17.6077,100.0,top
D27,46.7208,-14.3084,100.0,top
D28,65.4322,-11.0091,100.0,top
D29,84.1435,-7.7098,100.0,top
D3,-68.1171,28.8881,80.0,top
D30,108.8232,-7.1699,90.0,top
D31,-92.1982,-26.5499,90.0,top
D32,-70.7523,-28.7615,85.0,top
D33,-60.7445,-16.7759,350.0,top
D34,-49.948,-32.1949,80.0,top
D35,50.0201,-33.0197,100.0,top
D36,53.3124,-18.9239,10.0,top
D37,70.7704,-29.1755,95.0,top
D38,92.1982,-26.5499,90.0,top
D4,-49.4057,25.5888,80.0,top
D5,-30.6944,22.2895,80.0,top
D6,26.0887,20.6398,100.0,top
D7,44.8,23.9391,100.0,top
D8,63.5114,27.2384,100.0,top
D9,82.2227,30.5378,100.0,top
SW1,-97.8982,35.4001,0.0,top
SW10,95.5232,35.4001,0.0,top
SW11,-98.3732,16.0201,0.0,top
SW12,-75.4326,14.7537,350.0,top
SW13,-56.7213,11.4544,350.0,top
SW14,-38.0099,8.1551,350.0,top
SW15,-19.2986,4.8558,350.0,top
SW16,24.0486,4.8558,10.0,top
SW17,42.7599,8.1551,10.0,top
SW18,61.4713,11.4544,10.0,top
SW19,80.1826,14.7537,10.0,top
SW2,-76.8111,34.2899,350.0,top
SW20,100.7482,16.0201,0.0,top
SW21,-96.9482,-3.3599,0.0,top
SW22,-69.3762,-5.6073,350.0,top
SW23,-50.6649,-8.9066,350.0,top
SW24,-31.9536,-12.2059,350.0,top
SW25,-13.2422,-15.5053,350.0,top
SW26,17.9922,-15.5053,10.0,top
SW27,36.7036,-12.2059,10.0,top
SW28,55.4149,-8.9066,10.0,top
SW29,74.1263,-5.6073,10.0,top
SW3,-58.0998,30.9906,350.0,top
SW30,99.3232,-3.3599,0.0,top
SW31,-101.6982,-22.7399,0.0,top
SW32,-79.8841,-24.1381,355.0,top
SW33,-58.6421,-26.7931,350.0,top
SW34,-28.2361,-32.1545,350.0,top
SW35,30.6472,-32.5669,10.0,top
SW36,58.7142,-27.618,10.0,top
SW37,79.9021,-24.552,5.0,top
SW38,101.6982,-22.7399,0.0,top
SW4,-39.3884,27.6912,350.0,top
SW5,-20.6771,24.3919,350.0,top
SW6,16.0714,22.7423,10.0,top
SW7,34.7828,26.0416,10.0,top
SW8,53.4941,29.3409,10.0,top
SW9,72.2055,32.6402,10.0,top
