Designator,Mid X,Mid Y,Rotation,Layer
D1,32.7862,-67.6755,90.0,top
D10,239.0174,-77.0172,0.0,top
D11,267.0174,-68.0172,90.0,top
D12,33.4872,-87.0172,90.0,top
D13,55.688263,-87.096938,85.0,top
D14,74.615963,-88.752938,85.0,top
D15,93.543663,-90.408838,85.0,top
D16,112.471363,-92.064838,85.0,top
D17,177.838636,-92.064838,95.0,top
D18,196.766336,-90.408838,95.0,top
D19,215.694036,-88.752938,95.0,top
D2,60.793662,-77.505463,355.0,top
D20,234.621736,-87.096938,95.0,top
D21,261.5728,-87.0172,90.0,top
D22,36.545,-106.7729,90.0,top
D23,63.496163,-106.852638,85.0,top
D24,82.423863,-108.508638,85.0,top
D25,101.351563,-110.164538,85.0,top
D26,120.279263,-111.820538,85.0,top
D27,170.030736,-111.820538,95.0,top
D28,188.958436,-110.164538,95.0,top
D29,207.886136,-108.508638,95.0,top
D3,71.539963,-69.411238,85.0,top
D30,226.813836,-106.852638,95.0,top
D31,249.11,-106.7729,90.0,top
D32,252.58,-106.7729,90.0,top
D33,33.4872,-125.7729,90.0,top
D34,64.564692,-135.3586,357.0,top
D35,76.035963,-127.022338,85.0,top
D36,93.967463,-128.591138,85.0,top
D37,196.342536,-128.591138,95.0,top
D38,214.274036,-127.022338,95.0,top
D39,239.047633,-126.010437,92.0,top
D4,90.467663,-71.067238,85.0,top
D40,266.2278,-125.7729,90.0,top
D5,109.395363,-72.723138,85.0,top
D6,171.450836,-73.551138,95.0,top
D7,190.378536,-71.895138,95.0,top
D8,209.306236,-70.239238,95.0,top
D9,228.233836,-68.583238,95.0,top
SW1,41.7862,-67.6755,0.0,top
SW10,239.0174,-68.0172,0.0,top
SW11,258.0174,-68.0172,0.0,top
SW12,42.4872,-87.0172,0.0,top
SW13,64.654,-87.8814,355.0,top
SW14,83.5817,-89.5373,355.0,top
SW15,102.5094,-91.1933,355.0,top
SW16,121.4371,-92.8492,355.0,top
SW17,168.8729,-92.8492,5.0,top
SW18,187.8006,-91.1933,5.0,top
SW19,206.7283,-89.5373,5.0,top
SW2,61.578,-68.5397,355.0,top
SW20,225.656,-87.8814,5.0,top
SW21,252.5728,-87.0172,0.0,top
SW22,45.545,-106.7729,0.0,top
SW23,72.4619,-107.637,355.0,top
SW24,91.3896,-109.293,355.0,top
SW25,110.3173,-110.949,355.0,top
SW26,129.245,-112.6049,355.0,top
SW27,161.065,-112.6049,5.0,top
SW28,179.9927,-110.949,5.0,top
SW29,198.9204,-109.293,5.0,top
SW3,80.5057,-70.1956,355.0,top
SW30,217.8481,-107.637,5.0,top
SW31,240.11,-106.7729,0.0,top
SW32,261.58,-106.7729,0.0,top
SW33,42.4872,-125.7729,0.0,top
SW34,65.0812,-126.3734,357.0,top
SW35,85.0017,-127.8067,355.0,top
SW36,114.804294,-129.521166,355.0,top
SW37,174.260506,-129.630066,5.0,top
SW38,205.3083,-127.8067,5.0,top
SW39,230.0546,-126.3651,2.0,top
SW4,99.4334,-71.8516,355.0,top
SW40,257.2278,-125.7729,0.0,top
SW5,118.3611,-73.5076,355.0,top
SW6,162.485,-74.3355,5.0,top
SW7,181.4127,-72.6796,5.0,top
SW8,200.3404,-71.0236,5.0,top
SW9,219.2681,-69.3677,5.0,top
U1,141.9611,-88.9691,0.0,top
