Designator,Mid X,Mid Y,Rotation,Layer
D1,55.0,-81.0,0.0,top
D10,216.5,-71.5,90.0,top
D11,245.0,-81.0,0.0,top
D12,66.875,-90.5,90.0,top
D13,69.375,-90.5,90.0,top
D14,88.25,-90.5,90.0,top
D15,93.0,-81.0,0.0,top
D16,135.75,-100.0,0.0,top
D17,145.25,-90.5,90.0,top
D18,164.25,-90.5,90.0,top
D19,183.25,-90.5,90.0,top
D2,74.0,-81.0,0.0,top
D20,202.25,-90.5,90.0,top
D21,228.375,-90.5,90.0,top
D22,52.625,-109.5,90.0,top
D23,78.75,-109.5,90.0,top
D24,97.75,-109.5,90.0,top
D25,116.75,-109.5,90.0,top
D26,135.75,-109.5,90.0,top
D27,154.75,-109.5,90.0,top
D28,173.75,-109.5,90.0,top
D29,192.75,-109.5,90.0,top
D3,83.5,-71.5,90.0,top
D30,211.75,-109.5,90.0,top
D31,233.125,-109.5,90.0,top
D32,71.625,-128.5,90.0,top
D33,74.0,-128.5,90.0,top
D34,95.375,-128.5,90.0,top
D35,175.625,-128.5,90.0,top
D36,204.625,-128.5,90.0,top
D37,207.0,-128.5,90.0,top
D38,228.5,-128.5,90.0,top
D4,102.5,-71.5,90.0,top
D5,134.19,-81.0,0.0,top
D6,140.5,-71.5,90.0,top
D7,159.5,-71.5,90.0,top
D8,178.5,-71.5,90.0,top
D9,197.5,-71.5,90.0,top
SW1,55.0,-71.5,0.0,top
SW10,226.0,-71.5,0.0,top
SW11,245.0,-71.5,0.0,top
SW12,57.375,-90.5,0.0,top
SW13,78.75,-90.5,0.0,top
SW14,97.75,-90.5,0.0,top
SW15,116.75,-90.5,0.0,top
SW16,135.75,-90.5,0.0,top
SW17,154.75,-90.5,0.0,top
SW18,173.75,-90.5,0.0,top
SW19,192.75,-90.5,0.0,top
SW2,74.0,-71.5,0.0,top
SW20,211.75,-90.5,0.0,top
SW21,237.875,-90.5,0.0,top
SW22,62.125,-109.5,0.0,top
SW23,88.25,-109.5,0.0,top
SW24,107.25,-109.5,0.0,top
SW25,126.25,-109.5,0.0,top
SW26,145.25,-109.5,0.0,top
SW27,164.25,-109.5,0.0,top
SW28,183.25,-109.5,0.0,top
SW29,202.25,-109.5,0.0,top
SW3,93.0,-71.5,0.0,top
SW30,221.25,-109.5,0.0,top
SW31,242.625,-109.5,0.0,top
SW32,62.125,-128.5,0.0,top
SW33,83.5,-128.5,0.0,top
SW34,104.875,-128.5,0.0,top
SW35,150.0,-127.63005,0.0,top
SW36,195.125,-128.5,0.0,top
SW37,216.5,-128.5,0.0,top
SW38,237.875,-128.5,0.0,top
SW4,112.0,-71.5,0.0,top
SW5,131.0,-71.5,0.0,top
SW6,150.0,-71.5,0.0,top
SW7,169.0,-71.5,0.0,top
SW8,188.0,-71.5,0.0,top
SW9,207.0,-71.5,0.0,top
U1,116.75,-90.5,0.0,bottom
