Designator,Mid X,Mid Y,Rotation,Layer
D1,48.375,-71.5,90.0,top
D10,219.375,-71.5,90.0,top
D11,237.375,-71.5,90.0,top
D12,263.5,-71.5,90.0,top
D13,53.125,-90.5,90.0,top
D14,72.125,-90.5,90.0,top
D15,91.125,-90.5,90.0,top
D16,110.125,-90.5,90.0,top
D17,129.125,-90.5,90.0,top
D18,148.125,-90.5,90.0,top
D19,167.125,-90.5,90.0,top
D2,67.375,-71.5,90.0,top
D20,171.375,-80.5,0.0,top
D21,175.4,-100.0,0.0,top
D22,224.125,-90.5,90.0,top
D23,247.875,-90.5,90.0,top
D24,265.875,-90.5,90.0,top
D25,54.5,-109.5,90.0,top
D26,81.625,-109.5,90.0,top
D27,100.625,-109.5,90.0,top
D28,119.625,-109.5,90.0,top
D29,138.625,-109.5,90.0,top
D3,86.375,-71.5,90.0,top
D30,157.625,-109.5,90.0,top
D31,176.625,-109.5,90.0,top
D32,195.625,-109.5,90.0,top
D33,214.625,-109.5,90.0,top
D34,233.625,-109.5,90.0,top
D35,252.625,-109.5,90.0,top
D36,256.875,-99.5,0.0,top
D37,45.5,-118.5,0.0,top
D38,79.25,-128.5,90.0,top
D39,108.812,-130.0,90.0,top
D4,105.375,-71.5,90.0,top
D40,143.688,-130.0,90.0,top
D41,191.188,-130.0,90.0,top
D42,214.625,-128.5,90.0,top
D43,233.625,-128.5,90.0,top
D44,252.625,-128.5,90.0,top
D45,261.625,-118.5,0.0,top
D5,124.375,-71.5,90.0,top
D6,143.375,-71.5,90.0,top
D7,162.375,-71.5,90.0,top
D8,181.375,-71.5,90.0,top
D9,200.375,-71.5,90.0,top
SW1,38.375,-71.5,0.0,top
SW10,209.375,-71.5,0.0,top
SW11,228.375,-71.5,0.0,top
SW12,254.5,-71.5,0.0,top
SW13,40.75,-90.5,0.0,top
SW14,62.125,-90.5,0.0,top
SW15,81.125,-90.5,0.0,top
SW16,100.125,-90.5,0.0,top
SW17,119.125,-90.5,0.0,top
SW18,138.125,-90.5,0.0,top
SW19,157.125,-90.5,0.0,top
SW2,57.375,-71.5,0.0,top
SW20,176.125,-90.5,0.0,top
SW21,195.125,-90.5,0.0,top
SW22,214.125,-90.5,0.0,top
SW23,233.125,-90.5,0.0,top
SW24,256.875,-90.5,0.0,top
SW25,45.5,-109.5,0.0,top
SW26,71.625,-109.5,0.0,top
SW27,90.625,-109.5,0.0,top
SW28,109.625,-109.5,0.0,top
SW29,128.625,-109.5,0.0,top
SW3,76.375,-71.5,0.0,top
SW30,147.625,-109.5,0.0,top
SW31,166.625,-109.5,0.0,top
SW32,185.625,-109.5,0.0,top
SW33,204.625,-109.5,0.0,top
SW34,223.625,-109.5,0.0,top
SW35,242.625,-109.5,0.0,top
SW36,261.625,-109.5,0.0,top
SW37,40.75,-128.5,0.0,top
SW38,64.5,-128.5,0.0,top
SW39,88.25,-128.5,0.0,top
SW4,95.375,-71.5,0.0,top
SW40,126.25,-127.63005,0.0,top
SW41,173.75,-127.63005,0.0,top
SW42,204.625,-128.5,0.0,top
SW43,223.625,-128.5,0.0,top
SW44,242.625,-128.5,0.0,top
SW45,261.625,-128.5,0.0,top
SW5,114.375,-71.5,0.0,top
SW6,133.375,-71.5,0.0,top
SW7,152.375,-71.5,0.0,top
SW8,171.375,-71.5,0.0,top
SW9,190.375,-71.5,0.0,top
U1,195.125,-90.5,270.0,bottom
