Designator,Mid X,Mid Y,Rotation,Layer
D1,-117.871875,42.8625,270.0,top
D10,-70.246875,19.05,270.0,top
D11,-51.196875,19.05,270.0,top
D12,-32.146875,19.05,270.0,top
D13,-13.096875,19.05,270.0,top
D14,5.953125,19.05,270.0,top
D15,25.003125,19.05,270.0,top
D16,44.053125,19.05,270.0,top
D17,63.103125,19.05,270.0,top
D18,85.725,19.05,270.0,top
D19,-126.20625,0.0,270.0,top
D2,-98.821875,42.8625,270.0,top
D20,-103.584375,0.0,270.0,top
D21,-84.534375,0.0,270.0,top
D22,-65.484375,0.0,270.0,top
D23,-46.434375,0.0,270.0,top
D24,-27.384375,0.0,270.0,top
D25,-8.334375,0.0,270.0,top
D26,10.715625,0.0,270.0,top
D27,29.765625,0.0,270.0,top
D28,48.815625,0.0,270.0,top
D29,67.865625,0.0,270.0,top
D3,-79.771875,42.8625,270.0,top
D30,89.296875,0.0,270.0,top
D31,-122.634375,-19.05,270.0,top
D32,-94.059375,-19.05,270.0,top
D33,-75.009375,-19.05,270.0,top
D34,-55.959375,-19.05,270.0,top
D35,-36.909375,-19.05,270.0,top
D36,-17.859375,-19.05,270.0,top
D37,1.190625,-19.05,270.0,top
D38,20.240625,-19.05,270.0,top
D39,39.290625,-19.05,270.0,top
D4,-60.721875,42.8625,270.0,top
D40,58.340625,-19.05,270.0,top
D41,77.390625,-19.05,270.0,top
D42,96.440625,-19.05,270.0,top
D43,-126.20625,-38.1,270.0,top
D44,-103.584375,-38.1,270.0,top
D45,-83.34375,-38.1,270.0,top
D46,-16.66875,-38.1,270.0,top
D47,-11.90625,-38.1,270.0,top
D48,35.71875,-38.1,270.0,top
D49,58.340625,-38.1,270.0,top
D5,-41.671875,42.8625,270.0,top
D50,77.390625,-38.1,270.0,top
D51,96.440625,-38.1,270.0,top
D6,-22.621875,42.8625,270.0,top
D7,-127.396875,19.05,270.0,top
D8,-108.346875,19.05,270.0,top
D9,-89.296875,19.05,270.0,top
SW1,-109.5375,42.8625,180.0,top
SW10,-61.9125,19.05,180.0,top
SW11,-42.8625,19.05,180.0,top
SW12,-23.8125,19.05,180.0,top
SW13,-4.7625,19.05,180.0,top
SW14,14.2875,19.05,180.0,top
SW15,33.3375,19.05,180.0,top
SW16,52.3875,19.05,180.0,top
SW17,71.4375,19.05,180.0,top
SW18,97.63125,19.05,180.0,top
SW19,-116.68125,0.0,180.0,top
SW2,-90.4875,42.8625,180.0,top
SW20,-95.25,0.0,180.0,top
SW21,-76.2,0.0,180.0,top
SW22,-57.15,0.0,180.0,top
SW23,-38.1,0.0,180.0,top
SW24,-19.05,0.0,180.0,top
SW25,0.0,0.0,180.0,top
SW26,19.05,0.0,180.0,top
SW27,38.1,0.0,180.0,top
SW28,57.15,0.0,180.0,top
SW29,76.2,0.0,180.0,top
SW3,-71.4375,42.8625,180.0,top
SW30,100.0125,0.0,180.0,top
SW31,-111.91875,-19.05,180.0,top
SW32,-85.725,-19.05,180.0,top
SW33,-66.675,-19.05,180.0,top
SW34,-47.625,-19.05,180.0,top
SW35,-28.575,-19.05,180.0,top
SW36,-9.525,-19.05,180.0,top
SW37,9.525,-19.05,180.0,top
SW38,28.575,-19.05,180.0,top
SW39,47.625,-19.05,180.0,top
SW4,-52.3875,42.8625,180.0,top
SW40,66.675,-19.05,180.0,top
SW41,85.725,-19.05,180.0,top
SW42,104.775,-19.05,180.0,top
SW43,-116.68125,-38.1,180.0,top
SW44,-95.25,-38.1,180.0,top
SW45,-73.81875,-38.1,180.0,top
SW46,-35.71875,-37.78,180.0,top
SW47,7.14375,-37.78,180.0,top
SW48,45.24375,-38.1,180.0,top
SW49,66.675,-38.1,180.0,top
SW5,-33.3375,42.8625,180.0,top
SW50,85.725,-38.1,180.0,top
SW51,104.775,-38.1,180.0,top
SW6,-14.2875,42.8625,180.0,top
SW7,-119.0625,19.05,180.0,top
SW8,-100.0125,19.05,180.0,top
SW9,-80.9625,19.05,180.0,top
