Designator,Mid X,Mid Y,Rotation,Layer
D1,53.257377,-79.812566,172.0,top
D10,246.742622,-79.812566,8.0,top
D11,50.613088,-98.627659,172.0,top
D12,62.429399,-86.403204,82.0,top
D13,81.905565,-84.343719,82.0,top
D14,100.059586,-91.691782,82.0,top
D15,118.874679,-94.336071,82.0,top
D16,181.12532,-94.336071,98.0,top
D17,199.940413,-91.691782,98.0,top
D18,218.094435,-84.343719,98.0,top
D19,237.5706,-86.403204,98.0,top
D2,65.073688,-67.58811,82.0,top
D20,249.386911,-98.627659,8.0,top
D21,47.968799,-117.442752,172.0,top
D22,59.78511,-105.218297,82.0,top
D23,79.261276,-103.158813,82.0,top
D24,97.415297,-110.506875,82.0,top
D25,116.23039,-113.151164,82.0,top
D26,183.769609,-113.151164,98.0,top
D27,202.584702,-110.506875,98.0,top
D28,220.738723,-103.158813,98.0,top
D29,240.214889,-105.218297,98.0,top
D3,84.549854,-65.528626,82.0,top
D30,252.0312,-117.442752,8.0,top
D31,59.492708,-124.363927,82.0,top
D32,107.89206,-131.166012,82.0,top
D33,129.05904,-134.140837,82.0,top
D34,170.940959,-134.140837,98.0,top
D35,192.107939,-131.166012,98.0,top
D36,240.507291,-124.363927,98.0,top
D4,102.703875,-72.876688,82.0,top
D5,121.518968,-75.520977,82.0,top
D6,178.481031,-75.520977,98.0,top
D7,197.296125,-72.876688,98.0,top
D8,215.450146,-65.528626,98.0,top
D9,234.926311,-67.58811,98.0,top
R1,150.0,-103.56,270.0,top
RD1,140.96,-106.35,270.0,top
SW1,54.509936,-70.900153,352.0,top
SW10,245.490064,-70.900153,8.0,top
SW11,51.865647,-89.715246,352.0,top
SW12,71.341812,-87.655762,352.0,top
SW13,90.817978,-85.596278,352.0,top
SW14,108.971999,-92.94434,352.0,top
SW15,127.787092,-95.588629,352.0,top
SW16,172.212908,-95.588629,8.0,top
SW17,191.028001,-92.94434,8.0,top
SW18,209.182022,-85.596278,8.0,top
SW19,228.658188,-87.655762,8.0,top
SW2,73.986101,-68.840669,352.0,top
SW20,248.134353,-89.715246,8.0,top
SW21,49.221358,-108.53034,352.0,top
SW22,68.697523,-106.470855,352.0,top
SW23,88.173689,-104.411371,352.0,top
SW24,106.32771,-111.759433,352.0,top
SW25,125.142803,-114.403722,352.0,top
SW26,174.857197,-114.403722,8.0,top
SW27,193.67229,-111.759433,8.0,top
SW28,211.826311,-104.411371,8.0,top
SW29,231.302476,-106.470855,8.0,top
SW3,93.462267,-66.781184,352.0,top
SW30,250.778642,-108.53034,8.0,top
SW31,80.164554,-127.269165,352.0,top
SW32,98.979648,-129.913454,352.0,top
SW33,120.146628,-132.888279,352.0,top
SW34,179.853372,-132.888279,8.0,top
SW35,201.020352,-129.913454,8.0,top
SW36,219.835445,-127.269165,8.0,top
SW37,68.405121,-125.616485,352.0,top
SW38,91.923988,-128.921846,352.0,top
SW39,117.794741,-132.557743,352.0,top
SW4,111.616288,-74.129246,352.0,top
SW40,182.205259,-132.557743,8.0,top
SW41,208.076012,-128.921846,8.0,top
SW42,231.594879,-125.616485,8.0,top
SW5,130.431381,-76.773535,352.0,top
SW6,169.568619,-76.773535,8.0,top
SW7,188.383712,-74.129246,8.0,top
SW8,206.537733,-66.781184,8.0,top
SW9,226.013899,-68.840669,8.0,top
U1,150.0,-80.95,0.0,bottom
