Designator,Mid X,Mid Y,Rotation,Layer
D1,-96.834064,59.19661,75.0,top
D10,58.899492,53.949633,105.0,top
D11,78.481473,54.279048,105.0,top
D12,96.834064,59.19661,105.0,top
D13,-104.045701,41.458715,75.0,top
D14,-83.399037,35.926458,75.0,top
D15,-63.817055,35.597044,75.0,top
D16,-44.235074,35.26763,75.0,top
D17,-27.111874,25.76192,75.0,top
D18,-9.988673,16.25621,75.0,top
D19,9.988672,16.25621,105.0,top
D2,-78.481474,54.279048,75.0,top
D20,27.111872,25.761919,105.0,top
D21,44.235073,35.26763,105.0,top
D22,63.817054,35.597043,105.0,top
D23,83.399035,35.926457,105.0,top
D24,104.045699,41.458714,105.0,top
D25,-108.963262,23.106123,75.0,top
D26,-88.316597,17.573866,75.0,top
D27,-68.734616,17.244452,75.0,top
D28,-49.152635,16.915038,75.0,top
D29,-32.029435,7.409328,75.0,top
D3,-58.899493,53.949633,75.0,top
D30,-14.906235,-2.096381,75.0,top
D31,14.906234,-2.096381,105.0,top
D32,32.029434,7.409328,105.0,top
D33,49.152634,16.915038,105.0,top
D34,68.734616,17.244452,105.0,top
D35,88.316597,17.573866,105.0,top
D36,108.963261,23.106123,105.0,top
D37,-113.880824,4.753533,75.0,top
D38,-90.940086,-1.393419,75.0,top
D39,-67.999347,-7.540372,75.0,top
D4,-39.317511,53.620219,75.0,top
D40,-34.81763,-21.348948,75.0,top
D41,0.0,-13.5,0.0,top
D42,0.0,-9.0,0.0,top
D43,34.817629,-21.348948,105.0,top
D44,54.070196,-1.437553,105.0,top
D45,74.881568,-5.696286,105.0,top
D46,93.234159,-0.778724,105.0,top
D47,111.586748,4.138838,105.0,top
D5,-22.194311,44.11451,75.0,top
D6,-5.071111,34.6088,75.0,top
D7,5.071109,34.608801,105.0,top
D8,22.194311,44.11451,105.0,top
D9,39.317511,53.620219,105.0,top
SW1,-105.527397,63.188332,345.0,top
SW10,67.592825,58.598757,15.0,top
SW11,87.174806,58.928171,15.0,top
SW12,105.527396,63.845733,15.0,top
SW13,-112.739032,45.450437,345.0,top
SW14,-92.092368,39.91818,345.0,top
SW15,-72.510387,39.588765,345.0,top
SW16,-52.928405,39.259351,345.0,top
SW17,-35.805205,29.753642,345.0,top
SW18,-18.682005,20.247932,345.0,top
SW19,18.682005,20.905333,15.0,top
SW2,-87.174806,58.27077,345.0,top
SW20,35.805205,30.411043,15.0,top
SW21,52.928405,39.916752,15.0,top
SW22,72.510387,40.246166,15.0,top
SW23,92.092368,40.575581,15.0,top
SW24,112.739032,46.107838,15.0,top
SW25,-117.656594,27.097846,345.0,top
SW26,-97.00993,21.565589,345.0,top
SW27,-77.427948,21.236175,345.0,top
SW28,-57.845967,20.906761,345.0,top
SW29,-40.722767,11.401051,345.0,top
SW3,-67.592825,57.941356,345.0,top
SW30,-23.599567,1.895341,345.0,top
SW31,23.599567,2.552742,15.0,top
SW32,40.722767,12.058452,15.0,top
SW33,57.845967,21.564162,15.0,top
SW34,77.427948,21.893576,15.0,top
SW35,97.009929,22.22299,15.0,top
SW36,117.656594,27.755247,15.0,top
SW37,-122.574156,8.745255,345.0,top
SW38,-99.633418,2.598303,345.0,top
SW39,-76.692679,-3.548649,345.0,top
SW4,-48.010844,57.611942,345.0,top
SW40,-43.510962,-17.357226,345.0,top
SW41,0.0,-26.335,0.0,top
SW42,0.0,2.165,0.0,top
SW43,43.510962,-16.699825,15.0,top
SW44,62.763529,3.211571,15.0,top
SW45,83.574901,-1.047163,15.0,top
SW46,101.927491,3.870399,15.0,top
SW47,120.280082,8.787961,15.0,top
SW5,-30.887643,48.106232,345.0,top
SW6,-13.764443,38.600523,345.0,top
SW7,13.764443,39.257924,15.0,top
SW8,30.887643,48.763633,15.0,top
SW9,48.010843,58.269343,15.0,top
