Designator,Mid X,Mid Y,Rotation,Layer
D1,56.4073,-61.5747,90.0,top
D10,243.5927,-61.5747,90.0,top
D11,56.4073,-87.6997,90.0,top
D12,77.7823,-82.9497,90.0,top
D13,85.138276,-74.093265,80.0,top
D14,105.363676,-82.482865,80.0,top
D15,124.075076,-85.782165,80.0,top
D16,171.247123,-86.606965,100.0,top
D17,194.636323,-82.482865,100.0,top
D18,214.861723,-74.093265,100.0,top
D19,222.2177,-82.9497,90.0,top
D2,75.4073,-59.1997,90.0,top
D20,243.5927,-87.6997,90.0,top
D21,56.4073,-111.4497,90.0,top
D22,75.4073,-109.0747,90.0,top
D23,83.765476,-95.555965,80.0,top
D24,102.064376,-101.194165,80.0,top
D25,125.453576,-105.318365,80.0,top
D26,176.885323,-104.905965,100.0,top
D27,197.935623,-101.194165,100.0,top
D28,216.234523,-95.555965,100.0,top
D29,224.5927,-109.0747,90.0,top
D3,86.098676,-54.969565,80.0,top
D30,243.5927,-111.4497,90.0,top
D32,80.053676,-116.606265,80.0,top
D33,97.780276,-119.731865,80.0,top
D34,202.219723,-119.731865,100.0,top
D35,219.946323,-116.606265,100.0,top
D4,109.075376,-61.432565,80.0,top
D5,127.786776,-64.731865,80.0,top
D6,172.213223,-64.731865,100.0,top
D7,190.924623,-61.432565,100.0,top
D8,213.901323,-54.969565,100.0,top
D9,224.5927,-59.1997,90.0,top
SW1,47.4073,-61.5747,0.0,top
SW10,252.5927,-61.5747,0.0,top
SW11,47.4073,-87.6997,0.0,top
SW12,68.7823,-82.9497,0.0,top
SW13,94.0015,-75.6561,350.0,top
SW14,114.227,-84.0457,350.0,top
SW15,132.9383,-87.345,350.0,top
SW16,162.3839,-88.1698,10.0,top
SW17,185.773,-84.0457,10.0,top
SW18,205.9985,-75.6561,10.0,top
SW19,231.2177,-82.9497,0.0,top
SW2,66.4073,-59.1997,0.0,top
SW20,252.5927,-87.6997,0.0,top
SW21,47.3877,-111.465,0.0,top
SW22,66.4073,-109.0747,0.0,top
SW23,92.6287,-97.1188,350.0,top
SW24,110.9276,-102.757,350.0,top
SW25,134.3168,-106.8812,350.0,top
SW26,168.0221,-106.4688,10.0,top
SW27,189.0724,-102.757,10.0,top
SW28,207.3713,-97.1188,10.0,top
SW29,233.5927,-109.0747,0.0,top
SW3,94.9619,-56.5324,350.0,top
SW30,252.5927,-111.4497,0.0,top
SW32,88.917,-118.1691,350.0,top
SW33,119.668117,-122.670197,350.0,top
SW34,175.653983,-123.494997,10.0,top
SW35,211.083,-118.1691,10.0,top
SW4,117.9387,-62.9954,350.0,top
SW5,136.65,-66.2947,350.0,top
SW6,163.35,-66.2947,10.0,top
SW7,182.0613,-62.9954,10.0,top
SW8,205.0381,-56.5324,10.0,top
SW9,233.5927,-59.1997,0.0,top
U1,151.0,-108.0,0.0,bottom
