Designator,Mid X,Mid Y,Rotation,Layer
D1,-94.12145,22.388346,0.0,bottom
D10,91.87102,21.762067,180.0,bottom
D11,-94.281186,4.614371,0.0,bottom
D12,-81.35308051465786,13.223425658094614,278.0,bottom
D13,-63.52825551465786,10.718313658094615,278.0,bottom
D14,-45.70343051465785,8.213197658094614,278.0,bottom
D15,-27.878605514657856,5.708077658094615,278.0,bottom
D16,32.378605514657856,5.708074658094615,262.0,bottom
D17,50.20343051465785,8.213190658094614,262.0,bottom
D18,68.02825551465786,10.718309658094615,262.0,bottom
D19,85.85308051465786,13.223426658094615,262.0,bottom
D2,-83.44334351465785,30.684261658094616,278.0,bottom
D20,96.531186,4.301231,180.0,bottom
D21,-92.234716,-13.159605,0.0,bottom
D22,-74.80661151465786,-4.863689341905385,278.0,bottom
D23,-56.981786514657855,-7.368805341905385,278.0,bottom
D24,-39.156960514657854,-9.873921341905385,278.0,bottom
D25,-21.332135514657853,-12.379037341905386,278.0,bottom
D26,25.832135514657853,-12.379040341905386,262.0,bottom
D27,43.656960514657854,-9.873924341905385,262.0,bottom
D28,61.48178551465786,-7.368804341905386,262.0,bottom
D29,79.30661051465785,-4.863689341905385,262.0,bottom
D3,-65.61851851465785,28.179149658094616,278.0,bottom
D30,94.484716,-13.159605,180.0,bottom
D31,-83.734716,-21.659605,270.0,bottom
D32,-63.80393551465785,-23.577083341905386,278.0,bottom
D33,-34.838594514657856,-27.647896341905387,278.0,bottom
D34,39.338594514657856,-27.647897341905384,262.0,bottom
D35,68.30393551465785,-23.577082341905385,262.0,bottom
D36,85.984716,-21.659605,270.0,bottom
D4,-47.79369451465786,25.674029658094614,278.0,bottom
D5,-29.968869514657854,23.168914658094614,278.0,bottom
D6,25.556456514657857,21.916352658094613,262.0,bottom
D7,43.38128151465786,24.421471658094614,262.0,bottom
D8,61.206106514657854,26.926584658094615,262.0,bottom
D9,79.03093151465785,29.431703658094616,262.0,bottom
SW1,-94.12145,28.250846,180.0,top
SW10,91.87102,27.624567,180.0,top
SW11,-94.281186,10.476871,180.0,top
SW12,-73.30287105378217,9.480397968694106,172.0,top
SW13,-55.478046053782165,6.975282968694105,172.0,top
SW14,-37.653222053782166,4.470166968694106,172.0,top
SW15,-19.828395053782167,1.9650509686941058,172.0,top
SW16,24.328396053782164,1.9650509686941058,188.0,top
SW17,42.15322105378217,4.470166968694106,188.0,top
SW18,59.978046053782165,6.975282968694105,188.0,top
SW19,77.80287205378217,9.480398968694105,188.0,top
SW2,-75.39313505378216,26.941234968694104,172.0,top
SW20,96.531186,10.163731,180.0,top
SW21,-92.234716,-7.297105,180.0,top
SW22,-66.75640105378217,-8.606717031305894,172.0,top
SW23,-48.931576053782166,-11.111833031305894,172.0,top
SW24,-31.106751053782165,-13.616948031305894,172.0,top
SW25,-13.281926053782165,-16.122064031305893,172.0,top
SW26,17.781927053782166,-16.122064031305893,188.0,top
SW27,35.60675105378216,-13.616948031305894,188.0,top
SW28,53.431576053782166,-11.111832031305894,188.0,top
SW29,71.25640205378217,-8.606716031305893,188.0,top
SW3,-57.56831005378216,24.436118968694107,172.0,top
SW30,94.484716,-7.297105,180.0,top
SW31,-96.734716,-24.297105,180.0,top
SW31B,-94.484716,-24.297105,180.0,top
SW32,-53.525622053782165,-27.633249031305894,172.0,top
SW32B,-55.75372505378216,-27.320111031305895,172.0,top
SW33,-26.788384053782163,-31.390924031305893,172.0,top
SW34,31.288385053782164,-31.390923031305896,188.0,top
SW35,58.02562305378216,-27.633250031305895,188.0,top
SW35B,60.25372605378217,-27.320109031305893,188.0,top
SW36,98.984716,-24.297105,180.0,top
SW36B,96.734716,-24.297105,180.0,top
SW4,-39.74348405378217,21.931003968694107,172.0,top
SW5,-21.918659053782164,19.425886968694105,172.0,top
SW6,17.506246053782164,18.173328968694104,188.0,top
SW7,35.331072053782165,20.678444968694105,188.0,top
SW8,53.15589705378216,23.183560968694106,188.0,top
SW9,70.98072305378217,25.688677968694105,188.0,top
U1,-2.206206,24.035372,0.0,top
