Designator,Mid X,Mid Y,Rotation,Layer
D1,49.55,-72.438995,180.0,top
D10,248.075,-72.438995,0.0,top
D11,49.075,-91.818995,180.0,top
D12,63.64475,-83.109365,80.0,top
D13,82.356097,-86.408681,80.0,top
D14,101.067444,-89.707996,80.0,top
D15,119.778792,-93.007312,80.0,top
D16,184.971208,-93.007312,100.0,top
D17,203.682555,-89.707996,100.0,top
D18,222.393903,-86.408681,100.0,top
D19,241.10525,-83.109365,100.0,top
D2,62.266228,-63.573189,80.0,top
D20,253.3,-91.818995,0.0,top
D21,50.5,-111.198995,180.0,top
D22,69.701108,-103.47037,80.0,top
D23,88.412455,-106.769686,80.0,top
D24,107.123803,-110.069001,80.0,top
D25,125.83515,-113.368317,80.0,top
D26,178.91485,-113.368317,100.0,top
D27,197.626197,-110.069001,100.0,top
D28,216.337544,-106.769686,100.0,top
D29,235.048892,-103.47037,100.0,top
D3,80.977575,-66.872505,80.0,top
D30,251.875,-111.198995,0.0,top
D31,54.25,-122.078995,90.0,top
D32,80.435303,-124.656204,80.0,top
D33,117.736099,-139.864467,170.0,top
D34,184.674982,-140.276882,10.0,top
D35,219.63686,-125.481033,100.0,top
D36,245.75,-122.078995,90.0,top
D4,99.688923,-70.17182,80.0,top
D5,118.40027,-73.471135,80.0,top
D6,176.994056,-75.120793,100.0,top
D7,195.705403,-71.821478,100.0,top
D8,214.41675,-68.522162,100.0,top
D9,233.128098,-65.222847,100.0,top
SW1,49.55,-63.938995,0.0,top
SW10,248.075,-63.938995,0.0,top
SW11,49.075,-83.318995,0.0,top
SW12,72.015616,-84.585375,350.0,top
SW13,90.726963,-87.88469,350.0,top
SW14,109.43831,-91.184005,350.0,top
SW15,128.149658,-94.483321,350.0,top
SW16,176.600342,-94.483321,10.0,top
SW17,195.311689,-91.184006,10.0,top
SW18,214.023036,-87.884691,10.0,top
SW19,232.734384,-84.585375,10.0,top
SW2,70.637094,-65.049199,350.0,top
SW20,253.3,-83.318995,0.0,top
SW21,50.5,-102.698995,0.0,top
SW22,78.071974,-104.94638,350.0,top
SW23,96.783321,-108.245695,350.0,top
SW24,115.494669,-111.54501,350.0,top
SW25,134.206016,-114.844326,350.0,top
SW26,170.543984,-114.844326,10.0,top
SW27,189.255331,-111.545011,10.0,top
SW28,207.966678,-108.245696,10.0,top
SW29,226.678026,-104.94638,10.0,top
SW3,89.348442,-68.348514,350.0,top
SW30,251.875,-102.698995,0.0,top
SW31,45.75,-122.078995,0.0,top
SW32,88.806169,-126.132214,350.0,top
SW33,119.557325,-130.633298,350.0,top
SW34,182.853756,-131.045713,10.0,top
SW35,211.265994,-126.957043,10.0,top
SW36,254.25,-122.078995,0.0,top
SW4,108.059789,-71.647829,350.0,top
SW5,126.771136,-74.947145,350.0,top
SW6,168.62319,-76.596803,10.0,top
SW7,187.334537,-73.297487,10.0,top
SW8,206.045884,-69.998172,10.0,top
SW9,224.757232,-66.698857,10.0,top
U1,147.697163,-72.95895,0.0,top
