Designator,Mid X,Mid Y,Rotation,Layer
D1,-58.3406,32.1469,90.0,top
D10,-39.2906,13.0969,90.0,top
D11,-20.2406,13.0969,90.0,top
D12,-1.1906,13.0969,90.0,top
D13,17.8594,13.0969,90.0,top
D14,36.9094,13.0969,90.0,top
D15,55.9594,13.0969,90.0,top
D16,75.0094,13.0969,90.0,top
D17,79.7719,10.7156,0.0,top
D18,-78.5812,-5.9531,90.0,top
D19,-58.3406,-5.9531,90.0,top
D2,-39.2906,32.1469,90.0,top
D20,-39.2906,-5.9531,90.0,top
D21,-20.2406,-5.9531,90.0,top
D22,-1.1906,-5.9531,90.0,top
D23,17.8594,-5.9531,90.0,top
D24,36.9094,-5.9531,90.0,top
D25,55.9594,-5.9531,90.0,top
D26,75.0094,-5.9531,90.0,top
D27,79.7719,-8.3344,0.0,top
D28,-78.5812,-25.0031,90.0,top
D29,-58.3406,-25.0031,90.0,top
D3,-20.2406,32.1469,90.0,top
D30,-39.2906,-25.0031,90.0,top
D31,-20.2406,-25.0031,90.0,top
D32,-1.1906,-25.0031,90.0,top
D33,17.8594,-25.0031,90.0,top
D34,36.9094,-25.0031,90.0,top
D35,55.9594,-25.0031,90.0,top
D36,75.0094,-25.0031,90.0,top
D37,79.7719,-27.3844,0.0,top
D38,-58.3406,-44.0531,90.0,top
D39,-39.2906,-44.0531,90.0,top
D4,-1.1906,32.1469,90.0,top
D40,0.0,-44.0531,90.0,top
D41,38.1,-44.0531,90.0,top
D42,55.9594,-44.0531,90.0,top
D43,60.7219,-29.7656,0.0,top
D5,17.8594,32.1469,90.0,top
D6,66.675,32.1469,90.0,top
D7,77.3906,29.7656,0.0,top
D8,-78.5812,13.0969,90.0,top
D9,-58.3406,13.0969,90.0,top
MX1,-66.5,38.0,0.0,top
MX10,-47.5,19.0,0.0,top
MX11,-28.5,19.0,0.0,top
MX12,-9.5,19.0,0.0,top
MX13,9.5,19.0,0.0,top
MX14,28.5,19.0,0.0,top
MX15,47.5,19.0,0.0,top
MX16,66.5,19.0,0.0,top
MX17,85.5,19.0,0.0,top
MX18,-87.875,0.0,0.0,top
MX19,-66.5,0.0,0.0,top
MX2,-47.5,38.0,0.0,top
MX20,-47.5,0.0,0.0,top
MX21,-28.5,0.0,0.0,top
MX22,-9.5,0.0,0.0,top
MX23,9.5,0.0,0.0,top
MX24,28.5,0.0,0.0,top
MX25,47.5,0.0,0.0,top
MX26,66.5,0.0,0.0,top
MX27,85.5,0.0,0.0,top
MX28,-87.875,-19.0,0.0,top
MX29,-66.5,-19.0,0.0,top
MX3,-28.5,38.0,0.0,top
MX30,-47.5,-19.0,0.0,top
MX31,-28.5,-19.0,0.0,top
MX32,-9.5,-19.0,0.0,top
MX33,9.5,-19.0,0.0,top
MX34,28.5,-19.0,0.0,top
MX35,47.5,-19.0,0.0,top
MX36,66.5,-19.0,0.0,top
MX37,85.5,-19.0,0.0,top
MX38,-66.5,-38.0,0.0,top
MX39,-47.5,-38.0,0.0,top
MX4,-9.5,38.0,0.0,top
MX40,-19.0,-38.0,0.0,top
MX41,19.0,-38.0,0.0,top
MX42,47.5,-38.0,0.0,top
MX43,66.5,-38.0,0.0,top
MX5,9.5,38.0,0.0,top
MX6,45.125,38.0,0.0,top
MX7,83.125,38.0,0.0,top
MX8,-87.875,19.0,0.0,top
MX9,-66.5,19.0,0.0,top
