Designator,Mid X,Mid Y,Rotation,Layer
D1,-29.0,8.065,90.0,top
D10,34.19,-13.75,0.0,top
D11,-29.0,-29.935,90.0,top
D12,-10.0,-25.185,90.0,top
D13,9.0,-22.81,90.0,top
D14,28.0,-25.185,90.0,top
D15,34.19,-32.75,0.0,top
D16,18.5,-46.56,90.0,top
D17,10.45,-32.75,0.0,top
D18,45.3872,-39.9051,246.0,top
D19,-47.5,15.685,270.0,top
D2,-10.0,12.815,90.0,top
D20,-47.5,-10.935,90.0,top
D21,-47.5,-29.935,90.0,top
D3,9.0,15.19,90.0,top
D4,28.0,12.815,90.0,top
D5,34.19,5.25,0.0,top
D6,-29.0,-10.935,90.0,top
D7,-10.0,-6.185,90.0,top
D8,9.0,-3.81,90.0,top
D9,28.0,-6.185,90.0,top
J1,65.9125,-18.996,270.0,top
SW1,-38.0,11.875,0.0,top
SW10,38.0,-4.75,0.0,top
SW11,-38.0,-26.125,0.0,top
SW12,-19.0,-21.375,0.0,top
SW13,0.0,-19.0,0.0,top
SW14,19.0,-21.375,0.0,top
SW15,38.0,-23.75,0.0,top
SW16,9.5,-42.75,0.0,top
SW17,30.2676,-44.9328,348.0,top
SW18,52.0595,-47.0463,336.0,top
SW19,-57.0,11.875,0.0,top
SW2,-19.0,16.625,0.0,top
SW20,-57.0,-7.125,0.0,top
SW21,-57.0,-26.125,0.0,top
SW3,0.0,19.0,0.0,top
SW4,19.0,16.625,0.0,top
SW5,38.0,14.25,0.0,top
SW6,-38.0,-7.125,0.0,top
SW7,-19.0,-2.375,0.0,top
SW8,0.0,0.0,0.0,top
SW9,19.0,-2.375,0.0,top
