Designator,Mid X,Mid Y,Rotation,Layer
D1,-47.5,32.31,270.0,top
D10,9.5,22.81,270.0,top
D11,28.5,19.96,270.0,top
D12,47.5,5.71,270.0,top
D13,-47.5,-5.69,270.0,top
D14,-28.5,-5.69,270.0,top
D15,-9.5,-0.94,270.0,top
D16,9.5,3.81,270.0,top
D17,28.5,0.96,270.0,top
D18,47.5,-8.0962,270.0,top
D19,-56.05,-19.0,180.0,top
D2,-28.5,32.31,270.0,top
D20,-28.5,-19.0,180.0,top
D21,-9.5,-24.69,270.0,top
D22,-1.2279,-24.7892,263.0,top
D23,21.1142,-27.6324,256.0,top
D24,44.6455,-28.7428,249.0,top
D3,-9.5,37.06,270.0,top
D4,9.5,41.81,270.0,top
D5,28.5,38.96,270.0,top
D6,34.19,20.9,0.0,top
D7,-47.5,13.31,270.0,top
D8,-28.5,13.31,270.0,top
D9,-9.5,21.669375,270.0,top
J1,68.2656,-3.424,270.0,top
SW1,-57.0,28.5,0.0,top
SW10,0.0,19.0,0.0,top
SW11,19.0,16.15,0.0,top
SW12,38.0,11.4,0.0,top
SW13,-57.0,-9.5,0.0,top
SW14,-38.0,-9.5,0.0,top
SW15,-19.0,-4.75,0.0,top
SW16,0.0,0.0,0.0,top
SW17,19.0,-2.85,0.0,top
SW18,38.0,-7.6,0.0,top
SW19,-57.0,-28.5,0.0,top
SW2,-38.0,28.5,0.0,top
SW20,-38.0,-28.5,0.0,top
SW21,-19.0,-28.5,0.0,top
SW22,7.7369,-29.7286,353.0,top
SW23,29.4103,-33.6275,346.0,top
SW24,52.1492,-35.7042,339.0,top
SW25,-54.625,-28.5,0.0,top
SW26,-21.375,-28.5,0.0,top
SW3,-19.0,33.25,0.0,top
SW4,0.0,38.0,0.0,top
SW5,19.0,35.15,0.0,top
SW6,38.0,30.4,0.0,top
SW7,-57.0,9.5,0.0,top
SW8,-38.0,9.5,0.0,top
SW9,-19.0,14.25,0.0,top
