Designator,Mid X,Mid Y,Rotation,Layer
D1,-51.2821,14.2938,98.0,top
D10,7.9185,15.7808,94.0,top
D11,15.4769,6.1341,2.0,top
D12,30.2909,2.3063,90.0,top
D13,-45.9936,-23.3364,98.0,top
D14,-27.1785,-20.6921,98.0,top
D15,-9.4097,-9.257,96.0,top
D16,9.2439,-3.1729,94.0,top
D17,16.14,-12.8543,2.0,top
D18,30.2909,-16.6937,90.0,top
D19,0.2225,-36.0278,98.0,top
D2,-32.467,16.9381,98.0,top
D20,-2.7483,-36.4454,98.0,top
D21,-5.7191,-36.8629,98.0,top
D22,20.1501,-32.8466,92.0,top
D23,22.9941,-33.0454,80.0,top
D24,44.0456,-35.5105,68.0,top
D3,-13.3818,28.5349,96.0,top
D4,6.5931,34.7345,94.0,top
D5,14.8138,25.1225,2.0,top
D6,30.2909,21.3063,90.0,top
D7,-48.6378,-4.5213,98.0,top
D8,-29.8228,-1.877,98.0,top
D9,-11.3957,9.639,96.0,top
J1,68.2656,-9.496,270.0,top
SW1,-60.7248,16.8142,8.0,top
SW10,-1.3254,18.9537,4.0,top
SW11,18.9705,15.2616,2.0,top
SW12,39.2909,6.1163,0.0,top
SW13,-55.4362,-20.816,8.0,top
SW14,-36.6211,-18.1717,8.0,top
SW15,-18.7586,-6.4086,6.0,top
SW16,0.0,0.0,4.0,top
SW17,19.6336,-3.7268,2.0,top
SW18,39.2909,-12.8837,0.0,top
SW19,-52.7919,-39.6311,8.0,top
SW2,-41.9097,19.4585,8.0,top
SW20,-33.9768,-36.9868,8.0,top
SW21,-15.1617,-34.3425,8.0,top
SW22,11.134,-32.541,2.0,top
SW23,31.9651,-33.9977,350.0,top
SW24,53.8175,-35.3494,338.0,top
SW25,-50.44,-39.3006,188.0,top
SW26,-26.9212,-35.9952,188.0,top
SW3,-22.7307,31.3832,6.0,top
SW4,-2.6507,37.9074,4.0,top
SW5,18.3074,34.25,2.0,top
SW6,39.2909,25.1163,0.0,top
SW7,-58.0805,-2.0009,8.0,top
SW8,-39.2654,0.6434,8.0,top
SW9,-20.7447,12.4873,6.0,top
